DienTich,SoPhongNgu,ViTri,GiaNha
199,5,Quận 1,23.8
191,5,Quận 7,21.6
133,4,Quận 12,13.4
155,5,Quận 7,18.8
131,3,Quận 7,15.6
61,3,Tân Bình,8.4
133,3,Quận 1,17.6
161,4,Phú Nhuận,17.6
48,2,Quận 2,9.5
140,4,Quận 9,13.7
160,4,Quận 2,18.5
65,2,Tân Bình,7.1
168,5,Tân Bình,17.2
200,5,Tân Bình,19.9
81,2,Gò Vấp,7.4
71,3,Quận 7,11.2
44,2,Quận 1,9.7
101,4,Quận 1,14.9
53,2,Quận 1,10.5
74,3,Quận 12,7.8
154,5,Quận 12,15.2
70,3,Quận 1,12.1
85,2,Quận 12,7.6
151,5,Phú Nhuận,16.7
180,5,Phú Nhuận,18.7
183,4,Quận 7,20.6
67,2,Quận 7,9.4
189,4,Quận 9,17.9
59,2,Quận 2,10.0
186,5,Bình Thạnh,18.7
166,4,Gò Vấp,15.8
114,3,Gò Vấp,11.2
106,4,Quận 1,15.4
71,3,Bình Thạnh,9.6
136,4,Quận 9,13.7
156,5,Gò Vấp,15.7
86,3,Bình Thạnh,10.1
187,5,Quận 1,21.7
138,3,Phú Nhuận,15.3
71,3,Quận 12,8.1
116,3,Gò Vấp,11.5
114,3,Phú Nhuận,13.2
45,1,Quận 12,4.8
95,4,Quận 1,14.9
118,4,Quận 7,16.4
60,2,Quận 1,10.7
124,4,Phú Nhuận,14.2
156,5,Quận 12,14.5
142,4,Quận 12,14.1
75,2,Gò Vấp,7.5
189,5,Quận 7,21.1
185,4,Quận 1,22.1
64,3,Quận 1,11.8
47,2,Quận 2,8.5
68,2,Phú Nhuận,9.2
170,5,Tân Bình,18.8
159,5,Quận 12,15.7
120,3,Quận 7,15.2
159,4,Phú Nhuận,17.4
169,4,Tân Bình,16.9
48,2,Quận 1,9.3
149,5,Quận 7,17.6
155,5,Quận 7,18.7
112,3,Quận 1,16.0
180,5,Bình Thạnh,18.6
179,4,Quận 2,20.2
124,4,Gò Vấp,12.3
139,4,Quận 1,18.5
169,4,Quận 2,19.7
134,3,Quận 7,15.7
107,3,Quận 1,15.5
157,5,Quận 12,15.3
101,4,Quận 9,10.9
137,3,Quận 1,16.9
188,5,Quận 9,18.7
162,5,Quận 7,19.5
130,3,Tân Bình,13.5
59,1,Phú Nhuận,7.3
167,4,Quận 1,21.1
193,5,Quận 12,17.7
195,5,Phú Nhuận,20.9
178,4,Tân Bình,18.2
98,4,Quận 9,10.8
172,5,Quận 2,20.3
71,2,Quận 1,11.7
72,3,Quận 1,12.8
56,1,Phú Nhuận,7.9
70,3,Bình Thạnh,9.1
131,4,Quận 9,13.9
77,3,Tân Bình,9.4
173,4,Quận 12,15.6
105,4,Gò Vấp,11.1
141,4,Bình Thạnh,14.1
118,4,Quận 2,15.3
174,5,Tân Bình,17.9
173,5,Quận 12,16.7
189,4,Quận 2,20.9
173,5,Phú Nhuận,18.7
82,3,Quận 7,12.0
81,2,Quận 2,11.7
